searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Rubus,2988638,Rubus,<i>Rubus</i> L.,GENUS,Rosaceae,5015,Rubus,2988638,,,96,HIGHERRANK
Rubus (dewberry),2988638,Rubus,<i>Rubus</i> L.,GENUS,Rosaceae,5015,Rubus,2988638,,,96,HIGHERRANK
Rubus chamaemorus,2998290,Rubus chamaemorus,<i>Rubus</i> <i>chamaemorus</i> L.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus chamaemorus,2998290,99,EXACT
Rubus pubescens,2989228,Rubus pubescens,<i>Rubus</i> <i>pubescens</i> Raf.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus pubescens,2989228,99,EXACT
Rubus arcticus,2992051,Rubus arcticus,<i>Rubus</i> <i>arcticus</i> L.,SPECIES,Rosaceae,5015,Rubus,2988638,Rubus arcticus,2992051,99,EXACT
Pinus,2684241,Pinus,<i>Pinus</i> L.,GENUS,Pinaceae,3925,Pinus,2684241,,,80,HIGHERRANK
Picea,7606064,Picea,<i>Picea</i> A.Dietr.,GENUS,Pinaceae,3925,Picea,7606064,,,95,HIGHERRANK
Abies balsamea,2685383,Abies balsamea,<i>Abies</i> <i>balsamea</i> (L.) Mill.,SPECIES,Pinaceae,3925,Abies,2684876,Abies balsamea,2685383,100,EXACT
Tsuga canadensis,2687182,Tsuga canadensis,<i>Tsuga</i> <i>canadensis</i> (L.) Carrière,SPECIES,Pinaceae,3925,Tsuga,8527396,Tsuga canadensis,2687182,100,EXACT
Batis maritima,5414196,Batis maritima,<i>Batis</i> <i>maritima</i> L.,SPECIES,Bataceae,6353,Batis,2870361,Batis maritima,5414196,100,EXACT
Empetrum nigrum,8925249,Empetrum nigrum,<i>Empetrum</i> <i>nigrum</i> L.,SPECIES,Ericaceae,2505,Empetrum,2888367,Empetrum nigrum,8925249,100,EXACT
Juniperus communis,2684709,Juniperus communis,<i>Juniperus</i> <i>communis</i> L.,SPECIES,Cupressaceae,8144,Juniperus,2684359,Juniperus communis,2684709,99,EXACT
Juniperus virginiana,2684391,Juniperus virginiana,<i>Juniperus</i> <i>virginiana</i> L.,SPECIES,Cupressaceae,8144,Juniperus,2684359,Juniperus virginiana,2684391,99,EXACT
Taxus canadensis,5284570,Taxus canadensis,<i>Taxus</i> <i>canadensis</i> Marshall,SPECIES,Taxaceae,4863,Taxus,2684902,Taxus canadensis,5284570,99,EXACT
Juglans nigra,3054357,Juglans nigra,<i>Juglans</i> <i>nigra</i> L.,SPECIES,Juglandaceae,2499,Juglans,3054350,Juglans nigra,3054357,99,EXACT
Juglans cinerea,3054352,Juglans cinerea,<i>Juglans</i> <i>cinerea</i> L.,SPECIES,Juglandaceae,2499,Juglans,3054350,Juglans cinerea,3054352,100,EXACT
Carya,3054287,Carya,<i>Carya</i> Nutt.,GENUS,Juglandaceae,2499,Carya,3054287,,,80,HIGHERRANK
Carya laciniosa,7915743,Carya laciniosa,<i>Carya</i> <i>laciniosa</i> (F.Michx.) Loudon,SPECIES,Juglandaceae,2499,Carya,3054287,Carya laciniosa,7915743,99,EXACT
Carya glabra,3054325,Carya glabra,<i>Carya</i> <i>glabra</i> (Mill.) Sweet,SPECIES,Juglandaceae,2499,Carya,3054287,Carya glabra,3054325,100,EXACT
Fagus grandifolia,2882274,Fagus grandifolia,<i>Fagus</i> <i>grandifolia</i> Ehrh.,SPECIES,Fagaceae,4689,Fagus,2874875,Fagus grandifolia,2882274,100,EXACT
Castanea dentata,5333230,Castanea dentata,<i>Castanea</i> <i>dentata</i> (Marshall) Borkh.,SPECIES,Fagaceae,4689,Castanea,2882140,Castanea dentata,5333230,99,EXACT
Castanea pumila,5333212,Castanea pumila,<i>Castanea</i> <i>pumila</i> (L.) Mill.,SPECIES,Fagaceae,4689,Castanea,2882140,Castanea pumila,5333212,99,EXACT
Corylus,2875967,Corylus,<i>Corylus</i> L.,GENUS,Betulaceae,4688,Corylus,2875967,,,80,HIGHERRANK
Corylus cornuta,2876032,Corylus cornuta,<i>Corylus</i> <i>cornuta</i> Marshall,SPECIES,Betulaceae,4688,Corylus,2875967,Corylus cornuta,2876032,99,EXACT
Corylus americana,2876060,Corylus americana,<i>Corylus</i> <i>americana</i> Walter,SPECIES,Betulaceae,4688,Corylus,2875967,Corylus americana,2876060,99,EXACT
Quercus,2877951,Quercus,<i>Quercus</i> L.,GENUS,Fagaceae,4689,Quercus,2877951,,,80,HIGHERRANK
Quercus rubra,2880539,Quercus rubra,<i>Quercus</i> <i>rubra</i> L.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus rubra,2880539,99,EXACT
